what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667397515
error,log,,,"Failed command: load_image main.bin 0x40000000",1271667399265
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.VariableView",1271667404218
opened,view,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui.DisassemblyView",1271667404281
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1271667404828
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1271667404875
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1271667410250
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667412562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1271667416109
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667419125
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667421218
error,log,,,"Variable references empty selection: ${project_loc}",1271667421218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667422265
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271667422406
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667428218
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667432296
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1271667445671
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1271667447125
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Resume",1271667447171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667447187
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667449328
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271667450468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667457421
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667457437
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667457515
