what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667458312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667460046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667462234
activated,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugView",1271667469078
executed,command,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.commands.Terminate",1271667469109
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271667470781
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1271667474421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667476171
error,log,,,"Variable references empty selection: ${project_loc}",1271667476171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667477046
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271667477171
activated,editor,org.eclipse.cdt.make.ui,6.0.1.200909110608,"org.eclipse.cdt.make.editor",1271667478671
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1271667478671
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667481531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667488531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667489687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1271667607906
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1271667631140
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1271667631828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271667639640
activated,perspective,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.DebugPerspective",1271667648140
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1271667649625
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.MemoryView",1271667653000
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.RegisterView",1271667653046
opened,view,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui.ModuleView",1271667653078
